Size,DataType,Algorithm,Time_Seconds
1000,Nearly_Sorted,Bubble,0.000474500
1000,Nearly_Sorted,Insertion,0.000056500
1000,Nearly_Sorted,Selection,0.000368400
1000,Nearly_Sorted,Merge,0.000061100
1000,Nearly_Sorted,Quick,0.000034900
1000,Nearly_Sorted,Heap,0.000069700
1000,Nearly_Sorted,Counting,0.000005200
1000,Nearly_Sorted,Radix,0.000015300
10000,Random,Bubble,0.085729000
10000,Random,Insertion,0.027982000
10000,Random,Selection,0.037820000
10000,Random,Merge,0.001136000
10000,Random,Quick,0.000659000
10000,Random,Heap,0.001132000
10000,Random,Counting,0.000058000
10000,Random,Radix,0.000199000
10000,Sorted,Bubble,0.000011000
10000,Sorted,Insertion,0.000246000
10000,Sorted,Selection,0.036513000
10000,Sorted,Merge,0.000635000
10000,Sorted,Quick,0.000242000
10000,Sorted,Heap,0.000896000
10000,Sorted,Counting,0.000056000
10000,Sorted,Radix,0.000196000
10000,Reverse,Bubble,0.109687000
10000,Reverse,Insertion,0.057155000
10000,Reverse,Selection,0.038908000
10000,Reverse,Merge,0.000608000
10000,Reverse,Quick,0.000452000
10000,Reverse,Heap,0.000916000
10000,Reverse,Counting,0.000058000
10000,Reverse,Radix,0.000239000
10000,Few_Unique,Bubble,0.071059000
10000,Few_Unique,Insertion,0.021882000
10000,Few_Unique,Selection,0.037312000
10000,Few_Unique,Merge,0.000802000
10000,Few_Unique,Quick,0.006201000
10000,Few_Unique,Heap,0.000790000
10000,Few_Unique,Counting,0.000041000
10000,Few_Unique,Radix,0.000064000
10000,Nearly_Sorted,Bubble,0.050702000
10000,Nearly_Sorted,Insertion,0.003498000
10000,Nearly_Sorted,Selection,0.036822000
10000,Nearly_Sorted,Merge,0.000724000
10000,Nearly_Sorted,Quick,0.000409000
10000,Nearly_Sorted,Heap,0.000904000
10000,Nearly_Sorted,Counting,0.000054000
10000,Nearly_Sorted,Radix,0.000196000
50000,Random,Bubble,2.215212000
50000,Random,Insertion,0.697712000
50000,Random,Selection,0.945640000
50000,Random,Merge,0.005976000
50000,Random,Quick,0.004040000
50000,Random,Heap,0.006708000
50000,Random,Counting,0.000274000
50000,Random,Radix,0.001249000
50000,Sorted,Bubble,0.000038000
50000,Sorted,Insertion,0.001192000
50000,Sorted,Selection,0.930646000
50000,Sorted,Merge,0.003259000
50000,Sorted,Quick,0.001261000
50000,Sorted,Heap,0.004761000
50000,Sorted,Counting,0.000243000
50000,Sorted,Radix,0.001173000
50000,Reverse,Bubble,2.815056000
50000,Reverse,Insertion,1.352213000
50000,Reverse,Selection,0.986109000
50000,Reverse,Merge,0.003197000
50000,Reverse,Quick,0.002561000
50000,Reverse,Heap,0.004721000
50000,Reverse,Counting,0.000222000
50000,Reverse,Radix,0.001102000
50000,Few_Unique,Bubble,1.905700000
50000,Few_Unique,Insertion,0.548849000
50000,Few_Unique,Selection,0.934750000
50000,Few_Unique,Merge,0.004162000
50000,Few_Unique,Quick,0.146382000
50000,Few_Unique,Heap,0.004109000
50000,Few_Unique,Counting,0.000198000
50000,Few_Unique,Radix,0.000305000
50000,Nearly_Sorted,Bubble,1.310307000
50000,Nearly_Sorted,Insertion,0.085960000
50000,Nearly_Sorted,Selection,0.935061000
50000,Nearly_Sorted,Merge,0.003776000
50000,Nearly_Sorted,Quick,0.002267000
50000,Nearly_Sorted,Heap,0.005157000
50000,Nearly_Sorted,Counting,0.000233000
50000,Nearly_Sorted,Radix,0.001119000
100000,Random,Bubble,TIMEOUT
100000,Random,Insertion,2.685662000
100000,Random,Selection,3.785061000
100000,Random,Merge,0.012949000
100000,Random,Quick,0.008493000
100000,Random,Heap,0.014365000
100000,Random,Counting,0.000576000
100000,Random,Radix,0.002671000
100000,Sorted,Bubble,0.000077000
100000,Sorted,Insertion,0.002463000
100000,Sorted,Selection,3.762089000
100000,Sorted,Merge,0.006946000
100000,Sorted,Quick,0.002831000
